filename,title,medium,year,dimensions,price,status,description
fathers-2024.jpg,Fathers,Acrylic on paper,2024,7 x 5 in,30,print_available,Fathers’ Day card
marriott.jpg,Residence Inn,Acrylic on canvas,2021,12 x 9 in,200,available,"Hotel in Woburn, MA"
peters-brook.jpg,Peters Brook,Acrylic on panel,2024,9 x 12 in,200,inquiry,"Blue Hill, ME"
yosemite.jpg,Yosemite in Winter,Acrylic on panel,2023,10 x 8 in,400,sold,
regency-hyatt.jpg,Regency Hyatt,Acrylic on canvas,2020,12 x 9 in,800,print_available,"Cambridge, MA"
midwinter.jpg,Midwinter,Acrylic on panel,2020,7 x 5 in,200,available,"Watertown, MA"
mainewoods.jpg,Maine Woods,Acrylic on panel,2024,6 x 6 in,200,print_available,"Blue Hill, ME"
canopy.jpg,Canopy,Acrylic on canvas,2022,12 x 9 in,100,print_available,Looking up
